         2227 function calls in 0.007 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\venv\Lib\site-packages\jwt\api_jws.py:87(get_algorithm_by_name)
       11    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\windows_events.py:428(_check_closed)
        6    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        4    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\fc_server.py:62(<dictcomp>)
        8    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        6    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\streams.py:443(exception)
        6    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py:100(is_closing)
        4    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _contextvars.copy_context}
       10    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Future' objects}
        2    0.000    0.000    0.000    0.000 C:\DATA\Python\BPLA_OZ\fc_server.py:176(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:237(_releaseLock)
        4    0.000    0.000    0.000    0.000 {function _OverlappedFuture.set_result at 0x0000025ED1DF6F20}
        3    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\hmac.py:139(_current)
        6    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        6    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        6    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Task' objects}
        1    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\asyncio\tasks.py:65(_set_task_name)
        1    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1720(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Даниил\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1319(disable)


